,,Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
408,CA-2013-150000,9-Apr-15,,,,,,,,,,17.92,,
409,CA-2013-151155,21-Dec-15,,,,,,,,,,,,34.34
410,CA-2013-152156,9-Nov-15,,,,,,,993.9,,,,,
411,CA-2013-152163,2-Jul-15,,,,85.5,,,,,,,,
412,CA-2013-152471,9-Jul-15,,,,839.944,,,,,,,,
413,CA-2013-153318,26-Oct-15,,783.96,,,,,,,,,,
414,CA-2013-154060,3-May-15,,,,,,,,,,187.056,,
415,CA-2013-154403,24-May-15,,,,,,,,,,,,4.98
416,CA-2013-154690,16-Aug-15,,,,,,,225.296,,,,,
417,CA-2013-155138,9-Sep-15,,,,,,,,,,99.872,,
418,CA-2013-155439,15-Sep-15,,,,,,,,,,,,25.92
419,CA-2013-155670,14-Aug-15,,,,,,,21.504,,,,,
420,CA-2013-156503,15-Oct-15,,,,,,,,,,305.248,,
421,CA-2013-156573,30-May-15,,,,,,,,,,60.485,,
422,CA-2013-157161,17-Jul-15,,,,,,,,199.18,,,,
423,CA-2013-157245,20-May-15,,,,,,,,,,641.96,,
424,CA-2013-157280,6-Nov-15,1120.73,,,,,,,,,,,
425,CA-2013-157364,20-Nov-15,18.48,,,,,,,,,,,
426,CA-2013-157588,15-Jul-15,,,,,,,,,,88.15,,
427,CA-2013-157763,19-Jul-15,,,,,,,,,,,140.81,
428,CA-2013-158841,2-Feb-15,,,,,,,8805.04,,,,,
429,CA-2013-159142,5-Apr-15,,,177.78,,,,,,,,,
430,CA-2013-159212,2-Nov-15,,,,,,,,,,,,273.59
431,CA-2013-159653,23-May-15,,,,14.73,,,,,,,,
432,CA-2013-159765,10-May-15,,,,,,,27.86,,,,,
433,CA-2013-159891,31-Jan-15,,,,,,,,,,,,1396.35
434,CA-2013-159989,10-Dec-15,,,,,,,,,,40.68,,
435,CA-2013-160234,27-Jun-15,,,,,,,,,,135.95,,
436,CA-2013-160486,31-Dec-15,,,,,,,,,,72.224,,
437,CA-2013-160598,27-Aug-15,,31.008,,,,,,,,,,
438,CA-2013-162159,17-Sep-15,,,121.78,,,,,,,,,
439,CA-2013-162236,5-Nov-15,,,,,,,,1106.924,,,,
440,CA-2013-162355,1-Jul-15,,,,,,,1302.83,,,,,
441,CA-2013-162747,21-Mar-15,,,,,,,,86.45,,,,
442,CA-2013-162901,29-Mar-15,,31.4,,,,,,,,,,
443,CA-2013-163167,29-Nov-15,,,,,,,,2673.69,,,,
444,CA-2013-163174,27-Aug-15,,,,,,,,,,186.54,,
445,CA-2013-163776,20-Jul-15,,,,,,,,,,1110.5,,
446,CA-2013-164350,11-Sep-15,,,,,,,,,67.56,,,
447,CA-2013-164574,30-Jul-15,,,,,,,,,,732.156,,
448,CA-2013-164735,15-Apr-15,,,,,,,81.2,,,,,
449,CA-2013-164784,2-May-15,377.346,,,,,,,,,,,
450,CA-2013-165316,24-Jul-15,,,,,,,,,,,324.387,
451,CA-2013-165470,26-Nov-15,,,,,,,,,,,,5.08
452,CA-2013-165827,5-Nov-15,,,,,,,,,,,50.496,
453,CA-2013-166282,17-Apr-15,,,,,,,,,,158.256,,
454,CA-2013-166380,31-May-15,,,,,,,,,,,138.53,
455,CA-2013-166485,20-Feb-15,,,,,,,,,,16.496,,
456,CA-2013-168536,21-Dec-15,,,,,,,,,,66.3,,
457,CA-2013-168753,30-May-15,,,,,,,1002.7,,,,,
458,CA-2013-168893,4-Nov-15,,,,,,,903.77,,,,,
459,CA-2013-169026,9-Aug-15,,,,,,,,,,,,23.34
460,CA-2013-169103,9-Mar-15,,,,,,,,,,1466.32,,
461,CA-2013-169334,22-Oct-15,,,,,,,111.672,,,,,
462,CA-2014-100412,22-Dec-16,,,,,,,,,,,,141.96
463,CA-2014-100426,4-Jun-16,,,,,,,,,,12.48,,
464,CA-2014-100622,3-Nov-16,,,,,,,,,,1030.742,,
465,CA-2014-100902,17-Nov-16,,,,,,,,,,699.4,,
466,CA-2014-101042,19-Nov-16,,,,,,,,,,843.84,,
467,CA-2014-101210,25-Aug-16,,,,,,,13.152,,,,,
468,CA-2014-101273,27-Aug-16,,,,,,,14.336,,,,,
469,CA-2014-101483,29-Jul-16,,,,,,,61.216,,,,,
470,CA-2014-102204,1-May-16,,,,,,,,,,3740.51,,
471,CA-2014-102309,23-Sep-16,,,,,,,212.91,,,,,
472,CA-2014-102554,11-Jun-16,,,,,,,,,,,,3.76
473,CA-2014-102610,4-Nov-16,,,,,,,,,,248.396,,
474,CA-2014-102736,5-Sep-16,,,,,,,,,,177.08,,
475,CA-2014-103009,3-Nov-16,,,,,,,,26.4,,,,
476,CA-2014-103065,20-Oct-16,,,,59.824,,,,,,,,
477,CA-2014-103212,13-Oct-16,1541.51,,,,,,,,,,,
478,CA-2014-103499,20-Nov-16,,,,,,,,,,209.568,,
479,CA-2014-104318,13-May-16,,,,,,,,,,,20.768,
480,CA-2014-104731,21-Jul-16,,,,,,,,,,951.98,,
481,CA-2014-104864,18-Nov-16,,,,,,,,552.856,,,,
482,CA-2014-105620,25-Dec-16,141,,,,,,,,,,,
483,CA-2014-106537,12-Aug-16,,,,,,,,,,20.736,,
484,CA-2014-107167,10-Jun-16,,,,,,,,,,,1347.52,
485,CA-2014-107209,27-Jul-16,,,,,,,194.848,,,,,
486,CA-2014-107461,21-Dec-16,,,,,,,23.88,,,,,
487,CA-2014-108035,29-Nov-16,,,,,,,,,,491.888,,
488,CA-2014-108112,15-Nov-16,,,,,,,,,,559.2,,
489,CA-2014-108287,18-Dec-16,12.672,,,,,,,,,,,
490,CA-2014-108322,30-Apr-16,,,,,,,,,,,26.056,
491,CA-2014-109183,4-Dec-16,,,,,,,,,,649,,
492,CA-2014-109589,21-Dec-16,71,,,,,,,,,,,
493,CA-2014-110198,1-May-16,318.96,,,,,,,,,,,
494,CA-2014-110212,1-May-16,,,,,,,,,,,,48.9
495,CA-2014-110310,27-Oct-16,,,,,,,,,,,68.967,
496,CA-2014-110926,19-Nov-16,,,,,,,,,,25.06,,
497,CA-2014-112774,11-Sep-16,34.504,,,,,,,,,,,
498,CA-2014-113481,3-Jan-16,,740.214,,,,,,,,,,
499,CA-2014-113558,21-Oct-16,,,,,,,,,,,,729.648
500,CA-2014-113705,27-Mar-16,,,,,,,874.8,,,,,
501,CA-2014-114055,25-Dec-16,,,,,,,,,819.28,,,
502,CA-2014-114412,15-Apr-16,,,,,,,,,,15.552,,
503,CA-2014-114636,25-Aug-16,,,,,,,,,,192.16,,
504,CA-2014-115070,10-Apr-16,,,,,,,,16.739,,,,
505,CA-2014-115448,11-Nov-16,88.92,,,,,,,,,,,
506,CA-2014-115882,14-Sep-16,,1017.136,,,,,,,,,,
507,CA-2014-116113,2-Oct-16,,,,,,,,10.16,,,,
508,CA-2014-116855,17-Dec-16,,,,,,,,,,504.9,,
509,CA-2014-116939,25-Sep-16,,,,,,,,,,177.55,,
510,CA-2014-117079,23-Oct-16,,,,,,,,,,863.88,,
511,CA-2014-117198,31-Aug-16,,,,,,,,,,659.9,,
512,CA-2014-117695,5-Aug-16,,13.76,,,,,,,,,,
513,CA-2014-118402,29-Sep-16,,,,,,,,,,243.92,,
514,CA-2014-119004,23-Nov-16,,,,,,,,,,105.408,,
515,CA-2014-119284,15-Jun-16,,,,,,,,,,,2942.784,
516,CA-2014-119305,30-Nov-16,,,,,,,,,,173.8,,
517,CA-2014-119669,25-Jan-16,,,,,,,,,,5.67,,
518,CA-2014-120705,5-Sep-16,,,,,,,,,,,,147.184
519,CA-2014-120894,28-Apr-16,,,,,,,,,,28.08,,
520,CA-2014-121314,23-Sep-16,251.64,,,,,,,,,,,
521,CA-2014-121419,2-Apr-16,,,771.8,,,,,,,,,
522,CA-2014-121804,3-Mar-16,,,,,,,,,,72.8,,
523,CA-2014-121818,20-Nov-16,52.696,,,,,,,,,,,
524,CA-2014-122056,13-Jun-16,,,,,,,,,,181.86,,
525,CA-2014-122154,9-Apr-16,284.19,,,,,,,,,,,
526,CA-2014-122693,20-Feb-16,,,,,,,,1245.86,,,,
527,CA-2014-122707,16-Apr-16,,503.22,,,,,,,,,,
528,CA-2014-122987,16-Aug-16,,,,80.564,,,,,,,,
529,CA-2014-122994,7-Feb-16,359.97,,,,,,,,,,,
530,CA-2014-123239,27-Jul-16,,,,,,,91.032,,,,,
531,CA-2014-123351,21-Sep-16,,,,,,,,,,80.48,,
532,CA-2014-123687,26-May-16,,234.2,,,,,,,,,,
533,CA-2014-124296,24-Dec-16,,,,,,,,,,712.85,,
534,CA-2014-124597,30-Apr-16,,,,,,,,,,,,32.088
535,CA-2014-124765,25-Nov-16,,,,,,,,,,723.92,,
536,CA-2014-124828,3-Jul-16,,9.552,,,,,,,,,,
537,CA-2014-124898,11-Sep-16,,,,,,,,,,,,184.66
538,CA-2014-125472,30-May-16,253.86,,,,,,,,,,,
539,CA-2014-125745,30-Jun-16,,,,,,,,,,,19.52,
540,CA-2014-125752,31-Jul-16,,,,,,,,,,,,41.424
541,CA-2014-126046,3-Nov-16,,,,,,,,,,,12.39,
542,CA-2014-126354,4-Feb-16,,,,,,,,,,119.178,,
543,CA-2014-126382,3-Jun-16,,,,,,,,,,,35.168,
544,CA-2014-126774,15-Apr-16,4.89,,,,,,,,,,,
545,CA-2014-126914,15-Jun-16,,,,,,,,,,776.08,,
546,CA-2014-127306,15-Jan-16,,,,,,,,,,175.086,,
547,CA-2014-127516,28-Dec-16,,,,,,,,,,,,64.784
548,CA-2014-127726,11-Sep-16,,,,,,,209.88,,,,,
549,CA-2014-127803,19-May-16,,,,,,,,,,,26.16,
550,CA-2014-128300,24-Nov-16,,,,,,,,406.94,,,,
551,CA-2014-128363,13-Aug-16,,,,,,,,,,2382.926,,
552,CA-2014-128475,26-Aug-16,,,,,,,,,,,,71.98
553,CA-2014-128629,10-Jul-16,,,,,,,18.84,,,,,
554,CA-2014-128699,3-Dec-16,,,,,,,47.992,,,,,
555,CA-2014-128755,4-May-16,,,,,,,,,,629.86,,
556,CA-2014-128769,7-Sep-16,,,,,,,,,,,81.568,
557,CA-2014-129021,23-Aug-16,,,,,,,4590.344,,,,,
558,CA-2014-129028,1-Apr-16,,127.95,,,,,,,,,,
559,CA-2014-129462,16-Jun-16,,,,,,,740.59,,,,,
560,CA-2014-129490,26-Sep-16,,,,,,,,,,,,419.136
561,CA-2014-129910,30-Mar-16,,,,,,,,,,,,59.76
562,CA-2014-130309,17-Dec-16,,,,,,,,,,544.38,,
563,CA-2014-130834,3-Nov-16,,,,,,,16.272,,,,,
564,CA-2014-130904,11-Apr-16,,,,,,,,,,22.744,,
565,CA-2014-132185,27-Nov-16,,,,,,,,,,52.344,,
566,CA-2014-132213,25-Apr-16,,,109.968,,,,,,,,,
567,CA-2014-133095,4-Jun-16,,,,,,117.62,,,,,,
568,CA-2014-133235,1-Aug-16,271.96,,,,,,,,,,,
569,CA-2014-133263,31-Mar-16,,,,,,,,3098.61,,,,
570,CA-2014-133501,27-Aug-16,,,,,,,,,,5.184,,
571,CA-2014-133641,14-May-16,,,,,,,,,,48.69,,
572,CA-2014-133928,11-Jun-16,,,,,,,,,,4.572,,
573,CA-2014-134096,24-Sep-16,,,,,,,,,,,,399.53
574,CA-2014-134495,1-Apr-16,,,,,,,,269.4,,,,
575,CA-2014-134649,27-Jan-16,,,,,,,,22.63,,,,
576,CA-2014-134810,9-May-16,,272.232,,,,,,,,,,
577,CA-2014-135587,7-Dec-16,,,,,,,,,,372.64,,
578,CA-2014-136826,16-Jun-16,,,,,,,,,,,14.016,
579,CA-2014-137631,28-Apr-16,,,,,,,,,,751.984,,
580,CA-2014-138779,15-Jan-16,29.664,,,,,,,,,,,
581,CA-2014-138975,19-May-16,,,,,,,,,,2361.52,,
582,CA-2014-139353,28-Oct-16,,,,,,,273.088,,,,,
583,CA-2014-139493,13-Sep-16,,,,,,,,,,15.92,,
584,CA-2014-139619,19-Sep-16,,,,,,,,,,,95.616,
585,CA-2014-139787,19-Sep-16,,,,,,,,,,,,35.4
586,CA-2014-139948,17-Jul-16,,,,,,,,,,7.904,,
587,CA-2014-140088,28-May-16,,,,,,,301.96,,,,,
588,CA-2014-140627,23-Dec-16,,,,,,,,,,303.32,,
589,CA-2014-140872,3-Jun-16,,,,,,,,,,1111.698,,
590,CA-2014-141446,16-Sep-16,,,,,,,,,18,,,
591,CA-2014-141614,5-Jun-16,,,,,,,,,,,20.736,
592,CA-2014-142090,30-Nov-16,,,,,,,,,,2165.658,,
593,CA-2014-142671,10-Nov-16,,,,,,,,,11.52,,,
594,CA-2014-143567,2-Nov-16,,,,,,,,3291.07,,,,
595,CA-2014-143756,2-Dec-16,701.96,,,,,,,,,,,
596,CA-2014-143861,12-Jun-16,,,,,,,,,,17.088,,
597,CA-2014-144365,24-Oct-16,,,,,,,,,,11.68,,
598,CA-2014-144456,8-Sep-16,,,220.056,,,,,,,,,
599,CA-2014-144498,6-May-16,,,,817.829,,,,,,,,
600,CA-2014-144694,24-Sep-16,,,,,,,253.824,,,,,
601,CA-2014-145275,2-Apr-16,,,,,,,,,,14.94,,
602,CA-2014-145310,22-Dec-16,,,,,,,7.824,,,,,
603,CA-2014-145702,19-May-16,,,,,,,,342.24,,,,
604,CA-2014-145737,15-Sep-16,,,,,,,,,,163.96,,
605,CA-2014-146136,3-Sep-16,,,,,,,,,,24.448,,
606,CA-2014-146192,22-Apr-16,,,,,,,,,,675.06,,
607,CA-2014-146458,19-Nov-16,,,,,,,22.96,,,,,
608,CA-2014-146535,24-Nov-16,,,,,,,,,,,,1446.84
609,CA-2014-146983,2-Sep-16,,,,,,,,,,1577.94,,
610,CA-2014-147228,9-Sep-16,,,,,,,,,,458.984,,
611,CA-2014-147333,14-Dec-16,,,,,,,,,,,204.55,
612,CA-2014-147361,9-Sep-16,,,,,,,,,,,685.26,
613,CA-2014-147760,4-Nov-16,,1883.724,,,,,,,,,,
614,CA-2014-148166,21-Oct-16,,,,,,,,,,,,17.856
615,CA-2014-148404,7-Oct-16,,,,,,,,,,,,1027.21
616,CA-2014-148474,12-Jun-16,,,,,,,,,,,,544.14
617,CA-2014-148810,26-Jun-16,,,,,,,,,,,287.424,
618,CA-2014-148922,10-Dec-16,,,,,,,,,684.78,,,
619,CA-2014-148999,31-Jan-16,,,,,,,,,,419.136,,
620,CA-2014-149146,12-Oct-16,,,,,,7.968,,,,,,
621,CA-2014-149853,3-Oct-16,,,,,,,,,,33.472,,
622,CA-2014-150910,22-Dec-16,,,,,,,,,,1090.348,,
623,CA-2014-150931,7-Jan-16,,,,,,,,,,,,33.74
624,CA-2014-151211,17-Aug-16,,,,,,,,,,,,201.09
625,CA-2014-151218,20-Jun-16,4.464,,,,,,,,,,,
626,CA-2014-151855,27-May-16,,,,,,,,,,,39.252,
627,CA-2014-152786,12-Mar-16,,,,,,,,,,40.41,,
628,CA-2014-152968,26-May-16,,,,,,,,,,23.08,,
629,CA-2014-153339,3-Nov-16,,,,,,,,15.992,,,,
630,CA-2014-153654,24-Nov-16,,,,,,,,19.008,,,,
631,CA-2014-154088,12-Nov-16,,,,,,,,,,26.72,,
632,CA-2014-154123,20-Nov-16,,,,,,,,,,,,27.58
633,CA-2014-154816,6-Nov-16,,,,,,,,,,,5.78,
634,CA-2014-155089,2-Dec-16,,,,,,,,,,,,45.66
635,CA-2014-155159,25-Nov-16,,,,,,,48.87,,,,,
636,CA-2014-155292,30-Oct-16,,,204.98,,,,,,,,,
637,CA-2014-155698,8-Mar-16,,668.54,,,,,,,,,,
638,CA-2014-155705,21-Aug-16,,,,,,,866.4,,,,,
639,CA-2014-155824,10-Mar-16,,,,,,,,,,,61.876,
640,CA-2014-156272,21-Mar-16,,,,,,,,,,,64.384,
641,CA-2014-156769,6-May-16,54.66,,,,,,,,,,,
642,CA-2014-157854,8-Apr-16,,,,,,,,,,,2747.25,
643,CA-2014-157931,17-Sep-16,,,,,,,,,830.24,,,
644,CA-2014-158386,16-Oct-16,,,,,,,,,,124.75,,
645,CA-2014-158407,4-Jun-16,,,,,,,,,,,103.968,
646,CA-2014-158561,11-Nov-16,,,,,,,,1158.12,,,,
647,CA-2014-158729,19-Dec-16,1665.62,,,,,,,,,,,
648,CA-2014-158743,20-Oct-16,,,,,,,,,,199.17,,
649,CA-2014-158883,2-Jun-16,,,,25.344,,,,,,,,
650,CA-2014-158967,10-Dec-16,19.104,,,,,,,,,,,
651,CA-2014-159100,16-Oct-16,,,,,,,,,,,1893.786,
652,CA-2014-159135,4-Nov-16,,,,,,,,,,,,4.3
653,CA-2014-159464,18-May-16,,524.85,,,,,,,,,,
654,CA-2014-159667,9-Nov-16,,,,,,,,,,,,691.144
655,CA-2014-159954,10-Sep-16,,,,,,,,,,2.78,,
656,CA-2014-160017,28-Sep-16,,,,,,,,,,,10.368,
657,CA-2014-160423,22-Jan-16,,,,,,,,,,,,383.992
658,CA-2014-160458,27-May-16,,,,,,,25.92,,,,,
659,CA-2014-160724,5-May-16,,,,,,,,,,,34.5,
660,CA-2014-160899,11-Aug-16,,,,,,,,,477.51,,,
661,CA-2014-161046,5-Mar-16,,,,,839.25,,,,,,,
662,CA-2014-161053,22-Sep-16,726.91,,,,,,,,,,,
663,CA-2014-161088,25-May-16,,,,,,,,,,,,29.84
664,CA-2014-161130,3-Nov-16,,,,,,,,,,,361.376,
665,CA-2014-161200,6-Aug-16,,,,,,,161.14,,,,,
666,CA-2014-161592,6-Apr-16,,,,,,,,,,,8.1,
667,CA-2014-161851,15-Apr-16,,15.57,,,,,,,,,,
668,CA-2014-161970,22-Sep-16,,,,,,,,,,30.9,,
669,CA-2014-162033,26-Mar-16,,,,,,,,,,,,57.01
670,CA-2014-162173,26-Oct-16,,,,,,,,,,608.43,,
671,CA-2014-162635,9-Oct-16,10.816,,,,,,,,,,,
672,CA-2014-163321,7-Aug-16,,,,,,,79.992,,,,,
673,CA-2014-163335,24-Sep-16,79,,,,,,,,,,,
674,CA-2014-163510,25-Dec-16,,,,,,,400.39,,,,,
675,CA-2014-163629,17-Nov-16,,,,,,,,,,,286.09,
676,CA-2014-164756,18-Sep-16,,,,,,,,,,,997.83,
677,CA-2014-164917,2-Dec-16,,,,,,,,,,,47.96,
678,CA-2014-165029,26-Nov-16,,,,,,,,,,,12.84,
679,CA-2014-165204,13-Nov-16,,,,,,,728.968,,,,,
680,CA-2014-165687,17-Nov-16,,,,,,,,,,35.04,,
681,CA-2014-165715,2-Dec-16,,,,,,,,,,32.776,,
682,CA-2014-165904,7-Apr-16,,,,,,,,,,,,235.44
683,CA-2014-167871,18-Nov-16,,,,,,,,,,47.328,,
684,CA-2014-167941,6-Nov-16,,,,,,,831.368,,,,,
685,CA-2014-168102,24-Apr-16,,,,,,,,,,,113.568,
686,CA-2014-168389,11-Dec-16,,,,,,,,,,,873.811,
687,CA-2014-169005,2-Nov-16,,,,,,,,,,5.56,,
688,CA-2014-169012,10-Jul-16,,,,,,,,,,,41.91,
689,US-2011-102715,11-Apr-13,,,,,,,737.2,,,,,
690,US-2011-107405,21-Mar-13,,,,,,,,,,,16.272,
691,US-2011-109162,8-Jun-13,,,,,,,,,,,170.352,
692,US-2011-114377,5-Nov-13,,,,149.9,,,,,,,,
693,US-2011-115196,9-Sep-13,,,,,,,,,,1299.99,,
694,US-2011-117135,21-Jun-13,,,,,,,425.67,,,,,
695,US-2011-117170,17-Sep-13,,,,,,,,,,52.608,,
696,US-2011-118997,8-Apr-13,,,,,,,,,,,1215.92,
697,US-2011-125521,14-Mar-13,,,,,,,,,,,,1139.92
698,US-2011-130358,23-Jun-13,23.12,,,,,,,,,,,
699,US-2011-138835,10-Sep-13,,,,,,,,,,,,9.64
700,US-2011-143581,19-Aug-13,,,,,,,,,,,344.91,
701,US-2011-147627,20-Jan-13,,,,,,,,,,1859.4,,
702,US-2011-147774,20-Jan-13,,,,,,,,,,,67.194,
703,US-2011-150574,19-Dec-13,,,,,,,,,,252.612,,
704,US-2011-155502,26-Jan-13,,,,,,,,,,,,944.61
705,US-2011-155544,21-Mar-13,,,,,,,,,,310.528,,
706,US-2011-155817,3-Oct-13,,,,,,,,,,,,67.76
707,US-2011-156216,13-Sep-13,,,,,,,,,,,18.648,
708,US-2011-156559,19-Aug-13,,,,,,,,,,638.82,,
709,US-2011-157231,5-Apr-13,,,,,,,,,,,115.36,
710,US-2011-158057,22-Mar-13,,,,,,,,,,59.109,,
711,US-2011-164763,17-Mar-13,,,,,,,,,,,103.5,
712,US-2011-165659,1-Jun-13,,,,,,,,,,904.13,,
713,US-2011-167633,30-Sep-13,,,,,,,,,,15.552,,
714,US-2012-106495,15-Jun-14,11.672,,,,,,,,,,,
715,US-2012-108966,11-Oct-14,,,,,,,,,,979.9455,,
716,US-2012-112508,24-Mar-14,,,,,,,,,,,6.992,
717,US-2012-113327,26-May-14,,,,,,,,,352.168,,,
718,US-2012-120572,11-Dec-14,,,,,,,,,,12.828,,
719,US-2012-123960,11-Jun-14,,,,,,,,,,207.82,,
720,US-2012-129553,27-Jul-14,,,,,,,,,,29.97,,
721,US-2012-130519,15-Sep-14,,,,,111.904,,,,,,,
722,US-2012-131842,5-Dec-14,,97.424,,,,,,,,,,
723,US-2012-134026,26-Apr-14,,,,,,,,,,1001.76,,
724,US-2012-136476,5-Apr-14,,,,,,,,,,,157.794,
725,US-2012-136749,25-Dec-14,,,,,,,433.78,,,,,
726,US-2012-140851,13-Jul-14,,,,,,,,38.88,,,,
727,US-2012-145436,28-Feb-14,,,,,,,,,,551.264,,
728,US-2012-148817,1-Dec-14,,,,,,,,,,,125.64,
729,US-2012-149629,17-Jul-14,,,,,,,,231.92,,,,
730,US-2012-151435,6-Sep-14,,,,,,,85.98,,,,,
731,US-2012-158911,5-Jul-14,,,,,,,,,,,16.712,
732,US-2012-164357,25-Nov-14,,,,,,,,,,13.12,,
733,US-2012-168732,10-Dec-14,,,,,,,,,,129.64,,
734,US-2012-168935,27-Nov-14,,,,,,,,,,459.4335,,
735,US-2013-101616,4-Sep-15,,87.28,,,,,,,,,,
736,US-2013-102232,6-Aug-15,,,,,,,,,,,197.05,
737,US-2013-106600,9-Apr-15,354.9,,,,,,,,,,,
738,US-2013-108504,5-Feb-15,,,,,,2075.51,,,,,,
739,US-2013-108637,14-Mar-15,,,,,,,,,,,,334.2
740,US-2013-109260,27-Sep-15,,,,,,,,,,,,431.976
741,US-2013-113649,10-Aug-15,645.136,,,,,,,,,,,
742,US-2013-116400,23-Oct-15,39.92,,,,,,,,,,,
743,US-2013-119298,26-Nov-15,59.98,,,,,,,,,,,
744,US-2013-120929,19-Mar-15,,,,,,,189.882,,,,,
745,US-2013-121013,6-Sep-15,,,,,,,,,,1678,,
746,US-2013-123750,16-Apr-15,,,,,,,,,,,,895.06
747,US-2013-131891,30-Jul-15,2.214,,,,,,,,,,,
748,US-2013-132857,12-Dec-15,,,,,,,,,,6.672,,
749,US-2013-134761,1-Dec-15,,,,36.192,,,,,,,,
750,US-2013-135209,30-Dec-15,,,,,,,,,62.752,,,
751,US-2013-135923,22-Jan-15,,,,,,,,,,530.272,,
752,US-2013-137295,8-Jan-15,,,,,,,,,,187.228,,
753,US-2013-138408,19-Nov-15,,,,,,,,1319.96,,,,
754,US-2013-139262,21-Feb-15,,,,,,,,,,,,471.078
755,US-2013-140809,1-Feb-15,,56.45,,,,,,,,,,
756,US-2013-142251,1-Nov-15,,,,,,,32.064,,,,,
757,US-2013-144393,29-Oct-15,,,,,,,,,,,17.616,
758,US-2013-146570,16-May-15,,,,,,,,,,,,612.14
759,US-2013-147991,6-May-15,,,,,,,,,,16.72,,
760,US-2013-148803,12-Dec-15,,,,85.224,,,,,,,,
761,US-2013-148901,15-May-15,,,,,,,,,,,191.018,
762,US-2013-150357,11-Oct-15,,,,,,,,,,,24.703,
763,US-2013-150567,18-May-15,,,,,,,,,,,29.97,
764,US-2013-153815,7-Nov-15,,368.432,,,,,,,,,,
765,US-2013-155404,23-Sep-15,,,,,,,,,,,,13.28
766,US-2013-156692,14-Aug-15,,,,89.32,,,,,,,,
767,US-2013-158309,27-Nov-15,,,3.744,,,,,,,,,
768,US-2013-159415,18-Apr-15,,,,,,,,,,,79.12,
769,US-2013-161844,10-Dec-15,,,,,,,,82.92,,,,
770,US-2013-162677,27-Mar-15,187.616,,,,,,,,,,,
771,US-2013-164588,17-Apr-15,,,,,,,,,,12.84,,
772,US-2013-164630,4-Jan-15,,,,,,,,,,,959.968,
773,US-2013-167472,7-Jun-15,678.87,,,,,,,,,,,
774,US-2013-168620,25-Dec-15,,,,,,,,,823.61,,,
775,US-2013-169369,13-Dec-15,,,,,,,,,,299.07,,
776,US-2014-100930,7-Apr-16,,,,,,,,,,,,1735.8505
777,US-2014-102904,13-Nov-16,,,,,,,,,,239.92,,
778,US-2014-105935,27-Jan-16,,,,,,,,,,3002.65,,
779,US-2014-108063,2-Dec-16,34.65,,,,,,,,,,,
780,US-2014-108315,30-Apr-16,,,,,,,,,,,,225.546
781,US-2014-109610,25-Nov-16,,,,,,,,701.96,,,,
782,US-2014-114356,20-Aug-16,,,,,,,,,,,,35.96
783,US-2014-115252,20-Oct-16,,,,,,,,,,,30.336,
784,US-2014-117450,4-Sep-16,,,,,,,,,,107.552,,
785,US-2014-120390,19-Oct-16,,,,,,,,,,,,1633.188
786,US-2014-120607,19-May-16,,,,195.64,,,,,,,,
787,US-2014-126060,14-Apr-16,,,,,,,,,,,198.272,
788,US-2014-126179,3-Jul-16,,,,,,,,,,311.96,,
789,US-2014-128118,24-Nov-16,,,,,,,,,,,76.521,
790,US-2014-128951,15-Jul-16,,1065.84,,,,,,,,,,
791,US-2014-129224,17-Mar-16,,,,,,,,,,,,4.608
792,US-2014-132031,23-Apr-16,,,,,,,,,,,,513.496
793,US-2014-132297,27-May-16,,,,,,,,,,,,598.31
794,US-2014-132675,24-Sep-16,,,,,,,,,,,,148.16
795,US-2014-133781,22-Jun-16,37.608,,,,,,,,,,,
796,US-2014-134642,26-Feb-16,,,,,,,,,,428.704,,
797,US-2014-135062,31-Aug-16,,,,,,,229.544,,,,,
798,US-2014-135503,10-Dec-16,,,,,,,,,,,14.76,
799,US-2014-135986,20-Jun-16,,,,,,,,,,536.36,,
800,US-2014-136189,7-Dec-16,,,,,,,,,,82.38,,
801,US-2014-146822,9-Jun-16,,,,,,,,,,49.12,,
802,US-2014-146878,21-Sep-16,,,,,,,,,,12.294,,
803,US-2014-148768,30-Nov-16,,,,,,,,,71.976,,,
804,US-2014-148831,13-Oct-16,348.56,,,,,,,,,,,
805,US-2014-149510,3-Dec-16,,,,,,,,,,98.446,,
806,US-2014-152492,6-Jul-16,,,,239.24,,,,,,,,
807,US-2014-152842,16-Jul-16,,,,,,,,,,242.352,,
808,US-2014-152898,11-Sep-16,,,,,,,,,,67.9,,
809,US-2014-153633,13-Nov-16,,,,,,,2.064,,,,,
810,US-2014-156083,4-Nov-16,,,,,,,,,,,,9.664
811,US-2014-158526,29-Dec-16,,,,,,,1814.68,,,,,
812,US-2014-159205,31-Mar-16,,,,,,,,,732.93,,,
813,US-2014-162208,27-Aug-16,,2.896,,,,,,,,,,
814,US-2014-162558,2-Oct-16,,,2437.672,,,,,,,,,
815,US-2014-162670,23-Dec-16,,,,,,,,1152.87,,,,
816,US-2014-163195,18-Feb-16,,,,,,,29.16,,,,,
817,US-2014-165953,1-Jan-16,,,,,,,,,,71.096,,
818,US-2014-166233,3-Jul-16,,,,,,,,,,24,,
819,US-2014-166611,28-Mar-16,,,,,,,,,,,68.742,
820,US-2014-167920,9-Dec-16,,,,,,,1827.51,,,,,
821,US-2014-168116,4-Nov-16,,,,,8167.42,,,,,,,
822,US-2014-168690,8-Jan-16,,,,,,,,,,2.808,,
